county,department,expenditures_ytd,fiscal_year,bin
Prince George's,CENTRAL SERVICES,20919764.5,2016,Governing
Prince George's,CENTRAL SERVICES,40274898.19,2017,Governing
Prince George's,CENTRAL SERVICES,40695079.64,2014,Governing
Prince George's,CENTRAL SERVICES,41901624.04,2015,Governing
Prince George's,CENTRAL SERVICES,44508550.5,2018,Governing
Prince George's,CENTRAL SERVICES,48336394.87,2019,Governing
Prince George's,CENTRAL SERVICES,50204512.44,2013,Governing
Prince George's,CENTRAL SERVICES,54693698.02,2020,Governing
Prince George's,CIRCUIT COURT,1380277.2,2016,Governing
Prince George's,CIRCUIT COURT,1436496.57,2015,Governing
Prince George's,CIRCUIT COURT,1750472.17,2017,Governing
Prince George's,CIRCUIT COURT,1792390.2,2018,Governing
Prince George's,CIRCUIT COURT,2231827.08,2014,Governing
Prince George's,CIRCUIT COURT,2332968.76,2013,Governing
Prince George's,CIRCUIT COURT,5304873.55,2020,Governing
Prince George's,CIRCUIT COURT,7495651.12,2019,Governing
Prince George's,CITEZEN COMPLIANT OVERSIGHT PANEL,184.91,2020,Governing
Prince George's,CITEZEN COMPLIANT OVERSIGHT PANEL,1768.03,2017,Governing
Prince George's,CITEZEN COMPLIANT OVERSIGHT PANEL,2148.58,2018,Governing
Prince George's,CITEZEN COMPLIANT OVERSIGHT PANEL,3178.19,2019,Governing
Prince George's,CITIZEN COMPLAINT OVERSIGHT PANEL,126.88,2015,Governing
Prince George's,CITIZEN COMPLAINT OVERSIGHT PANEL,595.47,2016,Governing
Prince George's,CITIZEN COMPLAINT OVERSIGHT PANEL,56541.15,2014,Governing
Prince George's,CITIZEN COMPLAINT OVERSIGHT PANEL,68565.38,2013,Governing
Prince George's,COMMUNITY RELATIONS,52425.08,2016,Social Services
Prince George's,COMMUNITY RELATIONS,76140.42,2015,Social Services
Prince George's,COMMUNITY RELATIONS,99585.55,2018,Social Services
Prince George's,COMMUNITY RELATIONS,110448.7,2019,Social Services
Prince George's,COMMUNITY RELATIONS,111606.5,2017,Social Services
Prince George's,COMMUNITY RELATIONS,115019.09,2014,Social Services
Prince George's,COMMUNITY RELATIONS,244237.46,2013,Social Services
Prince George's,COMMUNITY RELATIONS,621385.47,2020,Social Services
Prince George's,CORRECTIONS,10588944.55,2018,Governing
Prince George's,CORRECTIONS,10606269.86,2016,Governing
Prince George's,CORRECTIONS,11890504.96,2019,Governing
Prince George's,CORRECTIONS,12080877.59,2015,Governing
Prince George's,CORRECTIONS,14168148.75,2013,Governing
Prince George's,CORRECTIONS,16098797.34,2020,Governing
Prince George's,CORRECTIONS,16346518.59,2014,Governing
Prince George's,CORRECTIONS,18230615.53,2017,Governing
Prince George's,COUNTY COUNCIL,990497.19,2016,Governing
